Transaction Date,Symbol,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,Vol,Prev. Close,Turnover,120 Days,180 Days,52 Weeks High,52 Weeks Low,Sentiment Score
2025-07-31,SMFBS,"1,847.10","1,872.90","1,825.10","1,833.07","1,849.00",-15.93,-0.01,847.00,"1,847.10","1,567,256.90","1,826.24","1,859.64","2,426.40","1,398.50",-1
2025-07-31,SMH,907.00,919.00,891.10,902.23,899.00,3.23,0.00,"2,607.00",906.16,"2,367,594.00",927.80,979.64,"1,283.00",790.00,-1
2025-07-31,SMHL,"1,158.90","1,162.10","1,126.10","1,141.83","1,137.10",4.73,0.00,"19,014.00","1,182.47","21,747,381.90","1,010.67","1,036.34","1,657.00",557.10,-1
2025-07-31,SMJC,635.00,649.00,619.00,622.08,625.00,-2.92,0.00,"121,519.00",637.59,"76,156,888.00",568.03,565.88,800.00,480.20,-1
2025-07-31,SMPDA,"1,048.90","1,049.00","1,017.00","1,028.12","1,024.90",3.22,0.00,"9,533.00","1,032.57","9,819,210.20",966.50,962.45,"1,278.90",826.00,-1
2025-07-31,SNLI,511.23,513.00,502.00,503.90,503.00,0.90,0.00,"44,991.00",511.23,"22,789,391.70",563.44,585.56,744.50,452.00,-1
2025-07-31,SONA,485.20,496.70,476.00,478.96,477.00,1.96,0.00,"135,508.00",490.46,"65,585,177.00",470.66,469.97,624.00,425.00,-1
2025-07-31,SPC,550.00,570.00,550.00,552.50,550.10,2.40,0.00,"60,629.00",554.51,"33,791,829.80",551.43,546.42,722.00,471.70,1
2025-07-31,SPDL,416.10,421.60,410.00,410.49,411.00,-0.51,0.00,"158,705.00",416.43,"65,732,177.00",374.49,358.54,465.00,260.00,-1
2025-07-31,SPHL,691.00,714.00,676.90,704.55,703.00,1.55,0.00,"15,088.00",703.01,"10,430,718.40",734.35,751.00,922.00,612.70,1
2025-07-31,SPIL,850.68,854.00,830.10,844.62,840.10,4.52,0.01,"21,548.00",850.68,"18,201,066.90",834.17,834.12,"1,076.00",778.00,-1
2025-07-31,SPL,"1,007.10","1,019.00",970.60,980.56,977.00,3.56,0.00,"8,555.00","1,021.65","8,525,915.60",876.41,903.58,"1,109.60",765.00,1
2025-07-31,SRLI,421.00,429.60,418.50,419.38,418.50,0.88,0.00,"66,147.00",424.38,"27,876,170.40",416.87,423.13,654.00,390.00,-1
2025-07-31,SSHL,295.80,296.60,285.00,285.65,285.90,-0.25,0.00,"997,158.00",290.83,"288,007,356.80",242.73,238.99,313.80,196.00,-1
2025-07-31,STC,"5,460.10","5,553.00","5,458.10","5,500.26","5,500.00",0.26,0.00,"1,986.00","5,567.12","10,920,839.60","5,224.38","5,385.83","7,000.00","4,905.10",1
2025-07-31,SWBBL,995.00,"1,016.00",957.20,962.09,966.90,-4.81,0.00,"32,060.00",976.66,"31,213,511.10",851.23,866.71,"1,232.00",782.40,-1
2025-07-31,SWMF,825.00,828.00,810.00,811.42,810.00,1.42,0.00,"13,762.00",819.40,"11,221,188.10",744.33,759.09,"1,192.00",676.00,-1
2025-07-31,TAMOR,525.10,538.00,522.00,523.47,523.00,0.47,0.00,"33,327.00",530.26,"17,561,054.80",530.06,530.26,637.00,439.20,-1
2025-07-31,TPC,412.90,412.90,396.00,398.37,399.00,-0.63,0.00,"38,598.00",405.21,"15,426,279.60",490.23,507.35,671.60,334.00,-1
2025-07-31,TRH,"1,008.00","1,030.80",980.00,989.84,999.00,-9.16,-0.01,"17,472.00","1,010.62","17,470,778.80","1,019.01","1,057.22","1,538.00",898.00,1
2025-07-31,TSHL,885.00,900.00,843.30,876.03,858.50,17.53,0.02,"10,731.00",868.54,"9,420,871.10",784.35,819.52,"1,231.00",616.80,-1
2025-07-31,TVCL,493.00,498.00,488.10,490.02,490.00,0.02,0.00,"14,583.00",497.96,"7,184,656.80",523.54,530.50,697.00,431.00,-1
2025-07-31,UAIL,589.72,590.00,579.00,581.89,580.00,1.89,0.00,"21,214.00",589.72,"12,365,508.60",627.96,637.74,837.30,560.00,-1
2025-07-31,UHEWA,629.00,637.00,618.00,620.42,621.00,-0.58,0.00,"18,200.00",629.95,"11,315,887.50",687.52,694.12,993.40,427.00,-1
2025-07-31,ULBSL,"3,560.00","3,647.90","3,560.00","3,614.36","3,615.10",-0.74,0.00,"3,198.00","3,605.01","11,540,309.70","3,744.32","3,684.83","6,600.00","2,650.50",1
2025-07-31,ULHC,495.10,512.70,495.10,503.42,502.00,1.42,0.00,"25,762.00",502.74,"13,009,969.50",513.02,506.74,693.00,364.00,1
2025-07-31,UMHL,555.90,555.90,546.00,549.30,548.00,1.30,0.00,"105,399.00",549.29,"57,878,251.40",484.66,435.02,619.00,276.70,-1
2025-07-31,UMRH,646.00,655.00,641.00,643.77,642.00,1.77,0.00,"58,648.00",653.88,"37,995,169.10",622.28,616.64,790.00,406.70,-1
2025-07-31,UNHPL,414.00,417.00,407.00,408.77,408.00,0.77,0.00,"130,042.00",414.33,"53,651,424.40",360.63,337.81,486.40,235.00,-1
2025-07-31,UNL,"48,265.00","48,450.00","47,500.00","48,450.00","48,450.00",0.00,0.00,50.00,"49,250.00","2,402,150.00","46,630.04","46,784.51","52,999.00","43,800.00",1
2025-07-31,UNLB,"2,350.00","2,398.00","2,294.00","2,303.45","2,327.00",-23.55,-0.01,"2,466.00","2,305.79","5,797,283.50","2,277.64","2,393.41","3,223.00","1,935.90",-1
2025-07-31,UPCL,430.00,431.90,416.10,419.20,418.90,0.30,0.00,"300,000.00",423.68,"126,313,529.80",368.28,339.19,489.00,234.00,-1
2025-07-31,UPPER,207.00,207.00,205.00,205.07,205.50,-0.43,0.00,"254,449.00",206.64,"52,359,856.00",201.98,204.63,295.00,192.00,-1
2025-07-31,USHEC,520.00,520.00,490.00,495.02,498.00,-2.98,-0.01,"91,745.00",520.74,"45,594,749.30",545.37,569.98,752.00,410.00,-1
2025-07-31,USHL,690.60,704.90,690.60,693.11,692.00,1.11,0.00,"3,778.00",703.43,"2,626,941.50",699.06,733.41,961.00,585.00,1
2025-07-31,USLB,"2,306.10","2,425.00","2,290.00","2,397.19","2,398.00",-0.81,0.00,"20,591.00","2,350.93","48,276,410.80","1,868.75","1,765.47","2,694.00","1,320.00",1
2025-07-31,VLBS,932.00,950.00,921.00,926.60,921.20,5.40,0.01,"7,606.00",933.59,"7,113,150.80",859.77,867.08,"1,090.00",770.00,-1
2025-07-31,VLUCL,640.00,640.00,629.00,630.18,630.00,0.18,0.00,"9,694.00",635.35,"6,119,920.40",658.79,662.50,816.00,535.00,-1
2025-07-31,WNLB,"2,135.00","2,150.00","2,103.20","2,109.92","2,125.00",-15.08,-0.01,"1,850.00","2,137.19","3,915,475.20","2,631.70","2,636.23","4,271.00","1,431.00",-1
